#xValues,yValues,integral,derivative
0,0.248668584157093,0,-0.266347584263996
0.0909090909090909,0.224551653489433,0.0215078179365782,-0.263163543504791
0.181818181818182,0.201013639323446,0.0408451162860082,-0.253611421227176
0.272727272727273,0.178633458160807,0.0580908382076092,-0.237691217431152
0.363636363636364,0.157990026503189,0.0733765556335798,-0.215402932116717
0.454545454545455,0.139662260852265,0.0868864692689979,-0.186746565283873
0.545454545454545,0.124229077709709,0.0988574085918209,-0.151722116932619
0.636363636363636,0.112269393577195,0.109578831852886,-0.110329587062955
0.727272727272727,0.104362124956396,0.119392826075908,-0.0625689756748811
0.818181818181818,0.101086188348987,0.128694107057485,-0.00844028276839742
0.909090909090909,0.103020500256639,0.13793001936709,0.0520564916564961
1,0.110743977181029,0.147600536347078,0.118921347599799
1.09090909090909,0.124627912367584,0.158253541402314,0.185302717605472
1.18181818181818,0.144213106036761,0.170432922186112,0.244349034217473
1.27272727272727,0.168832735152771,0.184626664786174,0.296060297435802
1.36363636363636,0.197819976679826,0.201262135014223,0.340436507260459
1.45454545454545,0.230508007582137,0.220706078405999,0.377477663691445
1.54545454545455,0.266230004823916,0.243264620221262,0.40718376672876
1.63636363636364,0.304319145369376,0.269183265443792,0.429554816372402
1.72727272727273,0.344108606182727,0.298646898781388,0.444590812622374
1.81818181818182,0.384931564228181,0.331779784665867,0.452291755478673
1.90909090909091,0.42612119646995,0.368645567253066,0.452657644941301
2,0.467010679872246,0.409247270422843,0.445688481010257
2.09090909090909,0.506982275047939,0.453528413316542,0.433004024091291
2.18181818181818,0.545614577204536,0.501385281249162,0.41622403459015
2.27272727272727,0.582535265198203,0.552679196621521,0.395348512506834
2.36363636363636,0.617372017885107,0.607237634457722,0.370377457841344
2.45454545454545,0.649752514121412,0.664854222405158,0.34131087059368
2.54545454545455,0.679304432763286,0.725288740734511,0.308148750763841
2.63636363636364,0.705655452666893,0.788267122339748,0.270891098351828
2.72727272727273,0.728433252688401,0.853481452738125,0.229537913357641
2.81818181818182,0.747265511683974,0.920589970070186,0.184089195781279
2.90909090909091,0.761779908509779,0.989217065099764,0.134544945622742
3,0.771604122021982,1.05895328121398,0.0809051628820315
3.09090909090909,0.776511499272816,1.12935862506405,0.0279768980293416
3.18181818181818,0.776858060098778,1.19999898361434,-0.0194327984651325
3.27272727272727,0.773145492532435,1.27048254119134,-0.0613239266013904
3.36363636363636,0.76587548460635,1.34046309012449,-0.0976964863794321
3.45454545454545,0.75554972435309,1.40964003074621,-0.128550477799258
3.54545454545455,0.742669899805219,1.47775837139188,-0.153885900860868
3.63636363636364,0.727737698995302,1.54460872839983,-0.173702755564261
3.72727272727273,0.711254809955905,1.61002732611135,-0.188001041909439
3.81818181818182,0.693722920719593,1.67389599687069,-0.1967807598964
3.90909090909091,0.67564371931893,1.73614218102508,-0.200041909525146
4,0.657518893786482,1.79673892692468,-0.197784490795675
4.09090909090909,0.639725538017891,1.85570205923772,-0.194120110226444
4.18181818181818,0.622142369361107,1.91305903041617,-0.193160374335906
4.27272727272727,0.60452351102716,1.96881777216164,-0.194905283124063
